input_text,target_text
断开 | 电气线束 | 右前部 | 转向灯连接器 | 连接,断开电气线束与右前部转向灯连接器的连接。
断开 | 左上部 | 导管热敏电阻 | 驾驶位气波槽 | 连接,断开左上部导管热敏电阻与驾驶位气波槽的连接注1个连接器
拆下 | 夹子 | 松开 | 后部 | 毡毯 | 车身 | 粘扣带,拆下夹子，然后松开将后部毡毯固定到车身的粘扣带。
紧固 | 吸入/液体管 | 超级瓶 | 夹子,紧固将吸入/液体管固定到超级瓶的夹子。
拆下 | 前部 | 中央保险杠碰撞加速计传感器 | 请参阅传感器碰撞加速计前保险杠中间,拆下前部中央保险杠碰撞加速计传感器。请参阅传感器碰撞加速计前保险杠中间。
进行 | 道路测试 | 确认制动踏板触感和刹车性能良好,进行道路测试并确认制动踏板触感和刹车性能良好。
拆卸 | 螺塞 | 连接 | 软管 | 动力总成回路软管 | 动力总成供给软管 | 高压电池回路软管 | 电池至冷却器软管,"拆卸螺塞，重新连接以下软管：动力总成回路软管,动力总成供给软管,高压电池回路软管,电池至冷却器软管"
拆下 | 左前 | 制动软管支架 | 左前 | 万向节 | 螺栓 | 5nm,拆下将左前制动软管支架固定到左前万向节的螺栓。5nm提示：推荐使用以下工具：10毫米套筒回旋头棘轮/回旋头扭矩扳手4英寸加长件
松开 | 天线线束夹,松开天线线束夹。
断开 | 左车身线束连接器 | 被动补充式约束控制模块 | 连接,断开左车身线束连接器与被动补充式约束控制模块的连接。
空调制冷剂回收完成后 | 断开 | 空调软管 | 请参阅回收,空调制冷剂回收完成后，从车上断开空调软管。请参阅回收。
如果高压电池替换件配有高压电池中梁滑板 | 转到第20步,如果高压电池替换件配有高压电池中梁滑板，请转到第20步。
松开 | 闩锁手动分离拉索 | 左后 | 车窗电机/升降器总成 | 夹子,松开将闩锁手动分离拉索固定到左后车窗电机/升降器总成的夹子。
减震塔支架 | 左侧 | 向后滑 | 安装 | 安装 | 减震塔支架 | 车身 | 螺栓 | 67nm | 62nm | 67nm,将减震塔支架的左侧向后滑到其安装位，然后安装将减震塔支架固定到车身的螺栓。67nm62nm67nm
